Object	Cont_Flag	RAJ2000	DEJ2000	X	Y	Label_Flag	Info
line	+	74.19398782141737	-66.53660186489594	0.0	0.0	false	null
line	+	74.19398782141737	-66.53660186489594	0.0	0.0	false	
line	+	74.18382639622958	-66.5349887496203	0.0	0.0	false	
line	+	74.17773249217181	-66.53499117511586	0.0	0.0	false	
line	+	74.17062293602554	-66.53499370578218	0.0	0.0	false	
line	+	74.16453053242104	-66.53580446075674	0.0	0.0	false	
line	+	74.15742074272903	-66.53580639332954	0.0	0.0	false	
line	+	74.14929526757327	-66.53580820758171	0.0	0.0	false	
line	+	74.1421846998063	-66.53500060760092	0.0	0.0	false	
line	+	74.13710522008343	-66.53338361304846	0.0	0.0	false	
line	+	74.12898001537376	-66.53217111190472	0.0	0.0	false	
line	+	74.12288665024043	-66.53136256527	0.0	0.0	false	
line	+	74.11476262551909	-66.53136259155872	0.0	0.0	false	
line	+	74.10968454880363	-66.53298007917066	0.0	0.0	false	
line	+	74.10562103401588	-66.53540633028256	0.0	0.0	false	
line	+	74.09952641418157	-66.53621456134195	0.0	0.0	false	
line	+	74.09343099365667	-66.5374269768866	0.0	0.0	false	
line	+	74.08733548267877	-66.5382347345258	0.0	0.0	false	
line	+	74.08327519762294	-66.53621177418391	0.0	0.0	false	
line	+	74.08530981953064	-66.53378568772811	0.0	0.0	false	
line	+	74.08937457979815	-66.53176438383666	0.0	0.0	false	
line	+	74.09445372858278	-66.53014755357032	0.0	0.0	false	
line	+	74.09750211895539	-66.52772146029488	0.0	0.0	false	
line	+	74.09851940401128	-66.5252950647128	0.0	0.0	false	
line	+	74.10156680362398	-66.52286889250585	0.0	0.0	false	
line	+	74.10461360912431	-66.52044266112834	0.0	0.0	false	
line	+	74.10968945760033	-66.51882533774405	0.0	0.0	false	
line	+	74.11577957217114	-66.51720786981666	0.0	0.0	false	
line	+	74.12186901075454	-66.51639900776594	0.0	0.0	false	
line	+	74.12897291329212	-66.51558984359187	0.0	0.0	false	
line	+	74.13607693095851	-66.51558919993036	0.0	0.0	false	
line	+	74.14419580772197	-66.51558807023876	0.0	0.0	false	
line	+	74.15231523589115	-66.51599094130839	0.0	0.0	false	
line	+	74.15942203770469	-66.51760692451464	0.0	0.0	false	
line	+	74.16754317014157	-66.51841342822024	0.0	0.0	false	
line	+	74.17464890620717	-66.51881545821283	0.0	0.0	false	
line	+	74.18175487171753	-66.51921716624936	0.0	0.0	false	
line	+	74.18987492718897	-66.51921367157183	0.0	0.0	false	
line	+	74.19799498025769	-66.51920975648261	0.0	0.0	false	
line	+	74.20510002450753	-66.51920598591067	0.0	0.0	false	
line	+	74.21220201586338	-66.51839305203298	0.0	0.0	false	
line	+	74.21828535567796	-66.51677160555245	0.0	0.0	false	
line	+	74.22030522802434	-66.51434377470392	0.0	0.0	false	
line	+	74.22232470662375	-66.51191591786367	0.0	0.0	false	
line	+	74.22738939142961	-66.50989036748119	0.0	0.0	false	
line	+	74.23347153554037	-66.50867275251669	0.0	0.0	false	
line	+	74.24057753767927	-66.5094762156189	0.0	0.0	false	
line	+	74.24667144163787	-66.51068461086379	0.0	0.0	false	
line	+	74.25276593704992	-66.51189276922237	0.0	0.0	false	
line	+	74.25987118125327	-66.51229093756835	0.0	0.0	false	
line	+	74.26596671022212	-66.51349858278118	0.0	0.0	false	
line	+	74.27003811804347	-66.51551680782566	0.0	0.0	false	
line	+	74.27106785966167	-66.51794234233532	0.0	0.0	false	
line	+	74.26803759563079	-66.52037179851213	0.0	0.0	false	
line	+	74.26398922209607	-66.52239772215587	0.0	0.0	false	
line	+	74.26095772493328	-66.52482704159041	0.0	0.0	false	
line	+	74.25589049799756	-66.52644925597458	0.0	0.0	false	
line	+	74.2518401471567	-66.52847486609917	0.0	0.0	false	
line	+	74.24677158310023	-66.53009678597576	0.0	0.0	false	
line	+	74.24068087510359	-66.53050607612703	0.0	0.0	false	
line	+	74.23356698988248	-66.5292981970687	0.0	0.0	false	
line	+	74.2315232749428	-66.52646873205563	0.0	0.0	false	
line	+	74.22645555311554	-66.52849441607063	0.0	0.0	false	
line	+	74.22341964923764	-66.53092300975747	0.0	0.0	false	
line	+	74.21733157453313	-66.5321402347662	0.0	0.0	false	
line	+	74.21226001479089	-66.5337610396033	0.0	0.0	false	
line	*	74.19398782141737	-66.53660186489594	0.0	0.0	false	
